,result,goldat15,opp_goldat15,golddiffat15,winning_lane
0,0,5025.0,4634.0,391.0,1
5,1,4634.0,5025.0,-391.0,0
12,0,4673.0,6157.0,-1484.0,0
17,1,6157.0,4673.0,1484.0,1
36,1,5856.0,4952.0,904.0,1
41,0,4952.0,5856.0,-904.0,0
60,0,5251.0,5026.0,225.0,1
65,1,5026.0,5251.0,-225.0,0
84,1,6551.0,4823.0,1728.0,1
89,0,4823.0,6551.0,-1728.0,0
120,1,4821.0,4693.0,128.0,1
125,0,4693.0,4821.0,-128.0,0
132,0,4609.0,4467.0,142.0,1
137,1,4467.0,4609.0,-142.0,0
144,1,5486.0,4694.0,792.0,1
149,0,4694.0,5486.0,-792.0,0
156,1,5129.0,5616.0,-487.0,0
161,0,5616.0,5129.0,487.0,1
168,0,4597.0,5320.0,-723.0,0
173,1,5320.0,4597.0,723.0,1
180,1,5582.0,4549.0,1033.0,1
185,0,4549.0,5582.0,-1033.0,0
192,0,4267.0,5340.0,-1073.0,0
197,1,5340.0,4267.0,1073.0,1
204,0,5538.0,4845.0,693.0,1
209,1,4845.0,5538.0,-693.0,0
216,0,4757.0,5434.0,-677.0,0
221,1,5434.0,4757.0,677.0,1
228,0,4530.0,5283.0,-753.0,0
233,1,5283.0,4530.0,753.0,1
240,1,4722.0,4279.0,443.0,1
245,0,4279.0,4722.0,-443.0,0
252,1,5703.0,4838.0,865.0,1
257,0,4838.0,5703.0,-865.0,0
264,0,4866.0,5115.0,-249.0,0
269,1,5115.0,4866.0,249.0,1
276,0,6061.0,5068.0,993.0,1
281,1,5068.0,6061.0,-993.0,0
288,1,5438.0,4276.0,1162.0,1
293,0,4276.0,5438.0,-1162.0,0
300,1,5491.0,5008.0,483.0,1
305,0,5008.0,5491.0,-483.0,0
312,0,4454.0,5052.0,-598.0,0
317,1,5052.0,4454.0,598.0,1
324,0,4524.0,5443.0,-919.0,0
329,1,5443.0,4524.0,919.0,1
336,0,4282.0,6103.0,-1821.0,0
341,1,6103.0,4282.0,1821.0,1
348,1,6788.0,4384.0,2404.0,1
353,0,4384.0,6788.0,-2404.0,0
360,0,4491.0,5246.0,-755.0,0
365,1,5246.0,4491.0,755.0,1
372,1,5127.0,4459.0,668.0,1
377,0,4459.0,5127.0,-668.0,0
384,1,4997.0,5234.0,-237.0,0
389,0,5234.0,4997.0,237.0,1
396,0,4246.0,6375.0,-2129.0,0
401,1,6375.0,4246.0,2129.0,1
408,1,4847.0,5228.0,-381.0,0
413,0,5228.0,4847.0,381.0,1
420,1,4725.0,5336.0,-611.0,0
425,0,5336.0,4725.0,611.0,1
432,0,4624.0,6132.0,-1508.0,0
437,1,6132.0,4624.0,1508.0,1
444,1,6325.0,3889.0,2436.0,1
449,0,3889.0,6325.0,-2436.0,0
456,1,5355.0,4644.0,711.0,1
461,0,4644.0,5355.0,-711.0,0
468,0,6067.0,4753.0,1314.0,1
473,1,4753.0,6067.0,-1314.0,0
480,0,6338.0,4687.0,1651.0,1
485,1,4687.0,6338.0,-1651.0,0
492,0,5460.0,6137.0,-677.0,0
497,1,6137.0,5460.0,677.0,1
504,1,5775.0,4878.0,897.0,1
509,0,4878.0,5775.0,-897.0,0
516,0,5059.0,4537.0,522.0,1
521,1,4537.0,5059.0,-522.0,0
528,1,6445.0,4732.0,1713.0,1
533,0,4732.0,6445.0,-1713.0,0
540,0,4419.0,5742.0,-1323.0,0
545,1,5742.0,4419.0,1323.0,1
552,0,5216.0,4248.0,968.0,1
557,1,4248.0,5216.0,-968.0,0
564,0,4152.0,7140.0,-2988.0,0
569,1,7140.0,4152.0,2988.0,1
576,1,4592.0,5895.0,-1303.0,0
581,0,5895.0,4592.0,1303.0,1
588,0,4475.0,5756.0,-1281.0,0
593,1,5756.0,4475.0,1281.0,1
600,1,5334.0,4519.0,815.0,1
605,0,4519.0,5334.0,-815.0,0
612,0,4041.0,5815.0,-1774.0,0
617,1,5815.0,4041.0,1774.0,1
624,1,4765.0,5188.0,-423.0,0
629,0,5188.0,4765.0,423.0,1
636,0,5481.0,5680.0,-199.0,0
641,1,5680.0,5481.0,199.0,1
660,0,4499.0,5125.0,-626.0,0
665,1,5125.0,4499.0,626.0,1
684,0,4317.0,5468.0,-1151.0,0
689,1,5468.0,4317.0,1151.0,1
708,1,6276.0,5130.0,1146.0,1
713,0,5130.0,6276.0,-1146.0,0
744,1,6589.0,5066.0,1523.0,1
749,0,5066.0,6589.0,-1523.0,0
756,0,5450.0,5909.0,-459.0,0
761,1,5909.0,5450.0,459.0,1
768,0,4760.0,5029.0,-269.0,0
773,1,5029.0,4760.0,269.0,1
780,0,5135.0,5999.0,-864.0,0
785,1,5999.0,5135.0,864.0,1
792,1,4368.0,5859.0,-1491.0,0
797,0,5859.0,4368.0,1491.0,1
804,1,5737.0,5152.0,585.0,1
809,0,5152.0,5737.0,-585.0,0
816,0,5073.0,4765.0,308.0,1
821,1,4765.0,5073.0,-308.0,0
828,1,6024.0,5028.0,996.0,1
833,0,5028.0,6024.0,-996.0,0
840,0,5601.0,4410.0,1191.0,1
845,1,4410.0,5601.0,-1191.0,0
852,0,4743.0,5759.0,-1016.0,0
857,1,5759.0,4743.0,1016.0,1
864,0,4677.0,5912.0,-1235.0,0
869,1,5912.0,4677.0,1235.0,1
876,0,5221.0,4345.0,876.0,1
881,1,4345.0,5221.0,-876.0,0
888,1,4581.0,6703.0,-2122.0,0
893,0,6703.0,4581.0,2122.0,1
900,1,4667.0,4956.0,-289.0,0
905,0,4956.0,4667.0,289.0,1
912,1,5574.0,4056.0,1518.0,1
917,0,4056.0,5574.0,-1518.0,0
924,0,4955.0,4946.0,9.0,1
929,1,4946.0,4955.0,-9.0,0
936,0,6123.0,3722.0,2401.0,1
941,1,3722.0,6123.0,-2401.0,0
948,0,4890.0,5072.0,-182.0,0
953,1,5072.0,4890.0,182.0,1
960,1,4316.0,5913.0,-1597.0,0
965,0,5913.0,4316.0,1597.0,1
972,1,5089.0,5287.0,-198.0,0
977,0,5287.0,5089.0,198.0,1
984,1,4102.0,4815.0,-713.0,0
989,0,4815.0,4102.0,713.0,1
996,1,4346.0,5045.0,-699.0,0
1001,0,5045.0,4346.0,699.0,1
1008,1,5063.0,4074.0,989.0,1
1013,0,4074.0,5063.0,-989.0,0
1020,0,4787.0,4930.0,-143.0,0
1025,1,4930.0,4787.0,143.0,1
1032,1,4952.0,4588.0,364.0,1
1037,0,4588.0,4952.0,-364.0,0
1044,0,4836.0,5659.0,-823.0,0
1049,1,5659.0,4836.0,823.0,1
1056,1,5445.0,5920.0,-475.0,0
1061,0,5920.0,5445.0,475.0,1
1068,1,4750.0,4482.0,268.0,1
1073,0,4482.0,4750.0,-268.0,0
1080,1,4613.0,5827.0,-1214.0,0
1085,0,5827.0,4613.0,1214.0,1
1092,1,5430.0,5020.0,410.0,1
1097,0,5020.0,5430.0,-410.0,0
1104,0,4530.0,5646.0,-1116.0,0
1109,1,5646.0,4530.0,1116.0,1
1116,0,4821.0,6879.0,-2058.0,0
1121,1,6879.0,4821.0,2058.0,1
1128,1,6665.0,4590.0,2075.0,1
1133,0,4590.0,6665.0,-2075.0,0
1140,0,5191.0,5324.0,-133.0,0
1145,1,5324.0,5191.0,133.0,1
1152,1,5201.0,5641.0,-440.0,0
1157,0,5641.0,5201.0,440.0,1
1164,1,5532.0,5393.0,139.0,1
1169,0,5393.0,5532.0,-139.0,0
1176,1,4857.0,4747.0,110.0,1
1181,0,4747.0,4857.0,-110.0,0
1188,1,5837.0,4013.0,1824.0,1
1193,0,4013.0,5837.0,-1824.0,0
1200,0,5398.0,4996.0,402.0,1
1205,1,4996.0,5398.0,-402.0,0
1212,0,4335.0,5837.0,-1502.0,0
1217,1,5837.0,4335.0,1502.0,1
1224,1,4086.0,4728.0,-642.0,0
1229,0,4728.0,4086.0,642.0,1
1236,1,6192.0,4707.0,1485.0,1
1241,0,4707.0,6192.0,-1485.0,0
1248,0,4988.0,5428.0,-440.0,0
1253,1,5428.0,4988.0,440.0,1
1260,0,5819.0,5881.0,-62.0,0
1265,1,5881.0,5819.0,62.0,1
1272,1,4792.0,5393.0,-601.0,0
1277,0,5393.0,4792.0,601.0,1
1284,0,5156.0,5597.0,-441.0,0
1289,1,5597.0,5156.0,441.0,1
1296,0,4486.0,5892.0,-1406.0,0
1301,1,5892.0,4486.0,1406.0,1
1308,1,5321.0,4807.0,514.0,1
1313,0,4807.0,5321.0,-514.0,0
1320,1,5349.0,4807.0,542.0,1
1325,0,4807.0,5349.0,-542.0,0
1332,0,4873.0,4971.0,-98.0,0
1337,1,4971.0,4873.0,98.0,1
1344,1,4361.0,5599.0,-1238.0,0
1349,0,5599.0,4361.0,1238.0,1
1356,0,4160.0,5181.0,-1021.0,0
1361,1,5181.0,4160.0,1021.0,1
1368,0,4050.0,6912.0,-2862.0,0
1373,1,6912.0,4050.0,2862.0,1
1380,1,6369.0,4892.0,1477.0,1
1385,0,4892.0,6369.0,-1477.0,0
1392,0,6062.0,4191.0,1871.0,1
1397,1,4191.0,6062.0,-1871.0,0
1404,1,5424.0,5054.0,370.0,1
1409,0,5054.0,5424.0,-370.0,0
1416,1,8324.0,4261.0,4063.0,1
1421,0,4261.0,8324.0,-4063.0,0
1428,1,4684.0,5026.0,-342.0,0
1433,0,5026.0,4684.0,342.0,1
1440,0,4763.0,4965.0,-202.0,0
1445,1,4965.0,4763.0,202.0,1
1452,0,5099.0,5815.0,-716.0,0
1457,1,5815.0,5099.0,716.0,1
1476,1,4828.0,5000.0,-172.0,0
1481,0,5000.0,4828.0,172.0,1
1512,0,6015.0,4444.0,1571.0,1
1517,1,4444.0,6015.0,-1571.0,0
1536,1,4438.0,5005.0,-567.0,0
1541,0,5005.0,4438.0,567.0,1
1548,1,5335.0,4926.0,409.0,1
1553,0,4926.0,5335.0,-409.0,0
1560,0,6049.0,5448.0,601.0,1
1565,1,5448.0,6049.0,-601.0,0
1572,0,5465.0,4842.0,623.0,1
1577,1,4842.0,5465.0,-623.0,0
1584,0,4530.0,6082.0,-1552.0,0
1589,1,6082.0,4530.0,1552.0,1
1596,1,5369.0,4443.0,926.0,1
1601,0,4443.0,5369.0,-926.0,0
1608,0,5137.0,5580.0,-443.0,0
1613,1,5580.0,5137.0,443.0,1
1620,1,5296.0,4447.0,849.0,1
1625,0,4447.0,5296.0,-849.0,0
1632,1,5056.0,4972.0,84.0,1
1637,0,4972.0,5056.0,-84.0,0
1644,1,5442.0,4924.0,518.0,1
1649,0,4924.0,5442.0,-518.0,0
1656,0,4935.0,5414.0,-479.0,0
1661,1,5414.0,4935.0,479.0,1
1668,1,5539.0,4815.0,724.0,1
1673,0,4815.0,5539.0,-724.0,0
1680,1,5426.0,4381.0,1045.0,1
1685,0,4381.0,5426.0,-1045.0,0
1692,0,5824.0,6074.0,-250.0,0
1697,1,6074.0,5824.0,250.0,1
1704,0,4435.0,5971.0,-1536.0,0
1709,1,5971.0,4435.0,1536.0,1
1716,0,6083.0,5774.0,309.0,1
1721,1,5774.0,6083.0,-309.0,0
1728,0,4746.0,5765.0,-1019.0,0
1733,1,5765.0,4746.0,1019.0,1
1740,1,4548.0,7309.0,-2761.0,0
1745,0,7309.0,4548.0,2761.0,1
1752,1,4304.0,6247.0,-1943.0,0
1757,0,6247.0,4304.0,1943.0,1
1764,1,4481.0,5414.0,-933.0,0
1769,0,5414.0,4481.0,933.0,1
1776,1,4738.0,4737.0,1.0,1
1781,0,4737.0,4738.0,-1.0,0
1788,1,5532.0,4872.0,660.0,1
1793,0,4872.0,5532.0,-660.0,0
1800,0,3897.0,4907.0,-1010.0,0
1805,1,4907.0,3897.0,1010.0,1
1812,1,6820.0,4275.0,2545.0,1
1817,0,4275.0,6820.0,-2545.0,0
1824,0,5367.0,4700.0,667.0,1
1829,1,4700.0,5367.0,-667.0,0
1836,0,4073.0,6646.0,-2573.0,0
1841,1,6646.0,4073.0,2573.0,1
1848,0,5080.0,5711.0,-631.0,0
1853,1,5711.0,5080.0,631.0,1
1860,0,6437.0,5895.0,542.0,1
1865,1,5895.0,6437.0,-542.0,0
1872,0,4215.0,5298.0,-1083.0,0
1877,1,5298.0,4215.0,1083.0,1
1884,0,5062.0,5340.0,-278.0,0
1889,1,5340.0,5062.0,278.0,1
1896,0,4449.0,6402.0,-1953.0,0
1901,1,6402.0,4449.0,1953.0,1
1908,1,5696.0,5644.0,52.0,1
1913,0,5644.0,5696.0,-52.0,0
1920,1,5426.0,5459.0,-33.0,0
1925,0,5459.0,5426.0,33.0,1
1944,0,5708.0,5188.0,520.0,1
1949,1,5188.0,5708.0,-520.0,0
1968,0,5646.0,4728.0,918.0,1
1973,1,4728.0,5646.0,-918.0,0
2004,0,5004.0,6046.0,-1042.0,0
2009,1,6046.0,5004.0,1042.0,1
2016,0,5441.0,5171.0,270.0,1
2021,1,5171.0,5441.0,-270.0,0
2028,0,5700.0,4905.0,795.0,1
2033,1,4905.0,5700.0,-795.0,0
2040,0,4862.0,5497.0,-635.0,0
2045,1,5497.0,4862.0,635.0,1
2052,1,5679.0,4450.0,1229.0,1
2057,0,4450.0,5679.0,-1229.0,0
2064,1,5737.0,4511.0,1226.0,1
2069,0,4511.0,5737.0,-1226.0,0
2076,0,4620.0,6363.0,-1743.0,0
2081,1,6363.0,4620.0,1743.0,1
2088,1,4649.0,4683.0,-34.0,0
2093,0,4683.0,4649.0,34.0,1
2100,1,5035.0,5471.0,-436.0,0
2105,0,5471.0,5035.0,436.0,1
2112,0,4970.0,5245.0,-275.0,0
2117,1,5245.0,4970.0,275.0,1
2124,0,4449.0,6338.0,-1889.0,0
2129,1,6338.0,4449.0,1889.0,1
2136,1,5061.0,4363.0,698.0,1
2141,0,4363.0,5061.0,-698.0,0
2148,1,5660.0,5541.0,119.0,1
2153,0,5541.0,5660.0,-119.0,0
2160,0,4131.0,5461.0,-1330.0,0
2165,1,5461.0,4131.0,1330.0,1
2172,1,6459.0,4676.0,1783.0,1
2177,0,4676.0,6459.0,-1783.0,0
2184,1,4646.0,5557.0,-911.0,0
2189,0,5557.0,4646.0,911.0,1
2196,0,4634.0,6884.0,-2250.0,0
2201,1,6884.0,4634.0,2250.0,1
2208,0,5720.0,5675.0,45.0,1
2213,1,5675.0,5720.0,-45.0,0
2220,1,6576.0,4407.0,2169.0,1
2225,0,4407.0,6576.0,-2169.0,0
2232,0,4478.0,6597.0,-2119.0,0
2237,1,6597.0,4478.0,2119.0,1
2244,0,4938.0,4675.0,263.0,1
2249,1,4675.0,4938.0,-263.0,0
2256,1,5273.0,5564.0,-291.0,0
2261,0,5564.0,5273.0,291.0,1
2268,1,5175.0,5569.0,-394.0,0
2273,0,5569.0,5175.0,394.0,1
2280,1,3844.0,5156.0,-1312.0,0
2285,0,5156.0,3844.0,1312.0,1
2292,1,5779.0,4999.0,780.0,1
2297,0,4999.0,5779.0,-780.0,0
2304,0,4568.0,4348.0,220.0,1
2309,1,4348.0,4568.0,-220.0,0
2316,1,7619.0,4256.0,3363.0,1
2321,0,4256.0,7619.0,-3363.0,0
2328,0,4652.0,6207.0,-1555.0,0
2333,1,6207.0,4652.0,1555.0,1
2340,0,4676.0,5464.0,-788.0,0
2345,1,5464.0,4676.0,788.0,1
2352,0,5540.0,5098.0,442.0,1
2357,1,5098.0,5540.0,-442.0,0
2364,1,5728.0,5112.0,616.0,1
2369,0,5112.0,5728.0,-616.0,0
2376,0,4743.0,4980.0,-237.0,0
2381,1,4980.0,4743.0,237.0,1
2412,1,7328.0,4455.0,2873.0,1
2417,0,4455.0,7328.0,-2873.0,0
2436,1,4718.0,5918.0,-1200.0,0
2441,0,5918.0,4718.0,1200.0,1
2472,1,4732.0,4766.0,-34.0,0
2477,0,4766.0,4732.0,34.0,1
2496,0,5095.0,5238.0,-143.0,0
2501,1,5238.0,5095.0,143.0,1
2520,1,5147.0,5409.0,-262.0,0
2525,0,5409.0,5147.0,262.0,1
2532,1,5010.0,4953.0,57.0,1
2537,0,4953.0,5010.0,-57.0,0
2544,0,5803.0,4484.0,1319.0,1
2549,1,4484.0,5803.0,-1319.0,0
2556,0,4613.0,6677.0,-2064.0,0
2561,1,6677.0,4613.0,2064.0,1
2568,1,4928.0,6045.0,-1117.0,0
2573,0,6045.0,4928.0,1117.0,1
2580,0,5126.0,5096.0,30.0,1
2585,1,5096.0,5126.0,-30.0,0
2592,1,5000.0,4920.0,80.0,1
2597,0,4920.0,5000.0,-80.0,0
2604,0,4553.0,5504.0,-951.0,0
2609,1,5504.0,4553.0,951.0,1
2616,1,5927.0,4410.0,1517.0,1
2621,0,4410.0,5927.0,-1517.0,0
2628,1,5306.0,4909.0,397.0,1
2633,0,4909.0,5306.0,-397.0,0
2640,1,5770.0,5274.0,496.0,1
2645,0,5274.0,5770.0,-496.0,0
2676,1,6582.0,4713.0,1869.0,1
2681,0,4713.0,6582.0,-1869.0,0
2700,0,5452.0,6733.0,-1281.0,0
2705,1,6733.0,5452.0,1281.0,1
2736,0,5170.0,5091.0,79.0,1
2741,1,5091.0,5170.0,-79.0,0
2784,1,6164.0,4832.0,1332.0,1
2789,0,4832.0,6164.0,-1332.0,0
2796,0,5227.0,4990.0,237.0,1
2801,1,4990.0,5227.0,-237.0,0
2808,1,4588.0,5608.0,-1020.0,0
2813,0,5608.0,4588.0,1020.0,1
2820,1,6141.0,4683.0,1458.0,1
2825,0,4683.0,6141.0,-1458.0,0
2832,0,7139.0,5607.0,1532.0,1
2837,1,5607.0,7139.0,-1532.0,0
2844,0,4930.0,4970.0,-40.0,0
2849,1,4970.0,4930.0,40.0,1
2856,1,5427.0,5302.0,125.0,1
2861,0,5302.0,5427.0,-125.0,0
2868,0,5422.0,5505.0,-83.0,0
2873,1,5505.0,5422.0,83.0,1
2880,0,5828.0,4266.0,1562.0,1
2885,1,4266.0,5828.0,-1562.0,0
2892,0,4302.0,6574.0,-2272.0,0
2897,1,6574.0,4302.0,2272.0,1
2904,1,4395.0,4773.0,-378.0,0
2909,0,4773.0,4395.0,378.0,1
2940,1,5623.0,5280.0,343.0,1
2945,0,5280.0,5623.0,-343.0,0
2964,1,5112.0,5725.0,-613.0,0
2969,0,5725.0,5112.0,613.0,1
2988,1,4397.0,6426.0,-2029.0,0
2993,0,6426.0,4397.0,2029.0,1
3024,1,4874.0,4707.0,167.0,1
3029,0,4707.0,4874.0,-167.0,0
3048,0,5205.0,4793.0,412.0,1
3053,1,4793.0,5205.0,-412.0,0
3072,0,5394.0,5490.0,-96.0,0
3077,1,5490.0,5394.0,96.0,1
3084,1,4490.0,5718.0,-1228.0,0
3089,0,5718.0,4490.0,1228.0,1
3096,1,6113.0,5279.0,834.0,1
3101,0,5279.0,6113.0,-834.0,0
3108,0,5860.0,5718.0,142.0,1
3113,1,5718.0,5860.0,-142.0,0
3120,1,4540.0,5451.0,-911.0,0
3125,0,5451.0,4540.0,911.0,1
3132,1,4804.0,5162.0,-358.0,0
3137,0,5162.0,4804.0,358.0,1
3144,1,6831.0,5351.0,1480.0,1
3149,0,5351.0,6831.0,-1480.0,0
3156,0,5265.0,5174.0,91.0,1
3161,1,5174.0,5265.0,-91.0,0
3168,1,5554.0,4556.0,998.0,1
3173,0,4556.0,5554.0,-998.0,0
3180,0,4663.0,4866.0,-203.0,0
3185,1,4866.0,4663.0,203.0,1
3192,1,5607.0,4472.0,1135.0,1
3197,0,4472.0,5607.0,-1135.0,0
3204,0,5444.0,5344.0,100.0,1
3209,1,5344.0,5444.0,-100.0,0
3228,1,6121.0,4659.0,1462.0,1
3233,0,4659.0,6121.0,-1462.0,0
3252,1,5307.0,5169.0,138.0,1
3257,0,5169.0,5307.0,-138.0,0
3276,1,5106.0,4756.0,350.0,1
3281,0,4756.0,5106.0,-350.0,0
3300,1,5180.0,4960.0,220.0,1
3305,0,4960.0,5180.0,-220.0,0
3312,1,4680.0,4508.0,172.0,1
3317,0,4508.0,4680.0,-172.0,0
3324,0,5654.0,4653.0,1001.0,1
3329,1,4653.0,5654.0,-1001.0,0
3336,1,4715.0,5551.0,-836.0,0
3341,0,5551.0,4715.0,836.0,1
3348,1,5257.0,5029.0,228.0,1
3353,0,5029.0,5257.0,-228.0,0
3360,0,5607.0,5107.0,500.0,1
3365,1,5107.0,5607.0,-500.0,0
3372,1,4064.0,5990.0,-1926.0,0
3377,0,5990.0,4064.0,1926.0,1
3384,0,6021.0,5655.0,366.0,1
3389,1,5655.0,6021.0,-366.0,0
3396,0,4593.0,4339.0,254.0,1
3401,1,4339.0,4593.0,-254.0,0
3408,1,5917.0,3916.0,2001.0,1
3413,0,3916.0,5917.0,-2001.0,0
3420,0,4966.0,4898.0,68.0,1
3425,1,4898.0,4966.0,-68.0,0
3432,0,5263.0,5301.0,-38.0,0
3437,1,5301.0,5263.0,38.0,1
3444,0,4504.0,5319.0,-815.0,0
3449,1,5319.0,4504.0,815.0,1
3456,1,4344.0,5235.0,-891.0,0
3461,0,5235.0,4344.0,891.0,1
3468,1,5447.0,4651.0,796.0,1
3473,0,4651.0,5447.0,-796.0,0
3480,1,4668.0,5314.0,-646.0,0
3485,0,5314.0,4668.0,646.0,1
3492,1,5127.0,4969.0,158.0,1
3497,0,4969.0,5127.0,-158.0,0
3504,0,4805.0,5060.0,-255.0,0
3509,1,5060.0,4805.0,255.0,1
3516,1,5771.0,4824.0,947.0,1
3521,0,4824.0,5771.0,-947.0,0
3528,0,4692.0,4505.0,187.0,1
3533,1,4505.0,4692.0,-187.0,0
3540,0,4455.0,6301.0,-1846.0,0
3545,1,6301.0,4455.0,1846.0,1
3552,0,5422.0,4461.0,961.0,1
3557,1,4461.0,5422.0,-961.0,0
3564,1,5082.0,5351.0,-269.0,0
3569,0,5351.0,5082.0,269.0,1
3576,0,4543.0,4573.0,-30.0,0
3581,1,4573.0,4543.0,30.0,1
3588,0,5693.0,4659.0,1034.0,1
3593,1,4659.0,5693.0,-1034.0,0
3600,1,4356.0,4781.0,-425.0,0
3605,0,4781.0,4356.0,425.0,1
3612,1,5778.0,5015.0,763.0,1
3617,0,5015.0,5778.0,-763.0,0
3624,0,4452.0,5280.0,-828.0,0
3629,1,5280.0,4452.0,828.0,1
3636,1,4528.0,4984.0,-456.0,0
3641,0,4984.0,4528.0,456.0,1
3648,0,5375.0,5239.0,136.0,1
3653,1,5239.0,5375.0,-136.0,0
3660,1,5635.0,5515.0,120.0,1
3665,0,5515.0,5635.0,-120.0,0
3672,0,4854.0,4564.0,290.0,1
3677,1,4564.0,4854.0,-290.0,0
3684,1,5247.0,5273.0,-26.0,0
3689,0,5273.0,5247.0,26.0,1
3696,0,4412.0,5104.0,-692.0,0
3701,1,5104.0,4412.0,692.0,1
3708,1,4575.0,5130.0,-555.0,0
3713,0,5130.0,4575.0,555.0,1
3720,0,5044.0,5914.0,-870.0,0
3725,1,5914.0,5044.0,870.0,1
3732,0,4609.0,6220.0,-1611.0,0
3737,1,6220.0,4609.0,1611.0,1
3744,0,4844.0,5141.0,-297.0,0
3749,1,5141.0,4844.0,297.0,1
3756,1,5257.0,5300.0,-43.0,0
3761,0,5300.0,5257.0,43.0,1
3768,0,4946.0,4839.0,107.0,1
3773,1,4839.0,4946.0,-107.0,0
3780,0,5786.0,4905.0,881.0,1
3785,1,4905.0,5786.0,-881.0,0
3792,1,4583.0,5720.0,-1137.0,0
3797,0,5720.0,4583.0,1137.0,1
3804,1,7144.0,3899.0,3245.0,1
3809,0,3899.0,7144.0,-3245.0,0
3816,1,4940.0,4590.0,350.0,1
3821,0,4590.0,4940.0,-350.0,0
3828,1,4975.0,5299.0,-324.0,0
3833,0,5299.0,4975.0,324.0,1
3840,1,5505.0,5442.0,63.0,1
3845,0,5442.0,5505.0,-63.0,0
3864,0,4643.0,7025.0,-2382.0,0
3869,1,7025.0,4643.0,2382.0,1
3888,1,5823.0,4872.0,951.0,1
3893,0,4872.0,5823.0,-951.0,0
3912,1,6522.0,4750.0,1772.0,1
3917,0,4750.0,6522.0,-1772.0,0
3948,1,5200.0,4862.0,338.0,1
3953,0,4862.0,5200.0,-338.0,0
3960,0,4732.0,5289.0,-557.0,0
3965,1,5289.0,4732.0,557.0,1
3972,1,5285.0,4725.0,560.0,1
3977,0,4725.0,5285.0,-560.0,0
3984,1,5306.0,5008.0,298.0,1
3989,0,5008.0,5306.0,-298.0,0
3996,1,4695.0,5059.0,-364.0,0
4001,0,5059.0,4695.0,364.0,1
4008,1,4110.0,5699.0,-1589.0,0
4013,0,5699.0,4110.0,1589.0,1
4020,1,5542.0,4412.0,1130.0,1
4025,0,4412.0,5542.0,-1130.0,0
4032,1,5015.0,5315.0,-300.0,0
4037,0,5315.0,5015.0,300.0,1
4044,1,5756.0,4829.0,927.0,1
4049,0,4829.0,5756.0,-927.0,0
4056,0,4498.0,5739.0,-1241.0,0
4061,1,5739.0,4498.0,1241.0,1
4068,0,6593.0,5041.0,1552.0,1
4073,1,5041.0,6593.0,-1552.0,0
4080,1,5491.0,4992.0,499.0,1
4085,0,4992.0,5491.0,-499.0,0
4092,0,5290.0,5036.0,254.0,1
4097,1,5036.0,5290.0,-254.0,0
4104,1,5305.0,5042.0,263.0,1
4109,0,5042.0,5305.0,-263.0,0
4116,0,5008.0,4884.0,124.0,1
4121,1,4884.0,5008.0,-124.0,0
4128,0,6044.0,4507.0,1537.0,1
4133,1,4507.0,6044.0,-1537.0,0
4140,0,4738.0,4820.0,-82.0,0
4145,1,4820.0,4738.0,82.0,1
4152,1,4686.0,6303.0,-1617.0,0
4157,0,6303.0,4686.0,1617.0,1
4164,1,5295.0,5054.0,241.0,1
4169,0,5054.0,5295.0,-241.0,0
4176,0,5129.0,5264.0,-135.0,0
4181,1,5264.0,5129.0,135.0,1
4188,1,5256.0,4463.0,793.0,1
4193,0,4463.0,5256.0,-793.0,0
4200,0,5057.0,5725.0,-668.0,0
4205,1,5725.0,5057.0,668.0,1
4212,0,5865.0,4705.0,1160.0,1
4217,1,4705.0,5865.0,-1160.0,0
4224,0,4319.0,5473.0,-1154.0,0
4229,1,5473.0,4319.0,1154.0,1
4236,0,5553.0,4100.0,1453.0,1
4241,1,4100.0,5553.0,-1453.0,0
4248,1,5644.0,4814.0,830.0,1
4253,0,4814.0,5644.0,-830.0,0
4260,0,5820.0,5282.0,538.0,1
4265,1,5282.0,5820.0,-538.0,0
4272,0,6132.0,5677.0,455.0,1
4277,1,5677.0,6132.0,-455.0,0
4284,0,4436.0,4843.0,-407.0,0
4289,1,4843.0,4436.0,407.0,1
4296,1,6478.0,4174.0,2304.0,1
4301,0,4174.0,6478.0,-2304.0,0
4308,1,5437.0,5647.0,-210.0,0
4313,0,5647.0,5437.0,210.0,1
4332,1,5428.0,4855.0,573.0,1
4337,0,4855.0,5428.0,-573.0,0
4368,1,5038.0,5101.0,-63.0,0
4373,0,5101.0,5038.0,63.0,1
4392,0,5065.0,5631.0,-566.0,0
4397,1,5631.0,5065.0,566.0,1
4416,0,6240.0,4970.0,1270.0,1
4421,1,4970.0,6240.0,-1270.0,0
4428,0,6070.0,4795.0,1275.0,1
4433,1,4795.0,6070.0,-1275.0,0
4440,1,5320.0,5856.0,-536.0,0
4445,0,5856.0,5320.0,536.0,1
4452,1,6818.0,4339.0,2479.0,1
4457,0,4339.0,6818.0,-2479.0,0
4464,0,4398.0,5592.0,-1194.0,0
4469,1,5592.0,4398.0,1194.0,1
4476,1,4930.0,5118.0,-188.0,0
4481,0,5118.0,4930.0,188.0,1
